"","gene1","gene2","p.value","q.value"
"465","TP53","PIK3CB",2.29903620264616e-05,0.00164841707157853
"120","CTNNB1","CHD3",2.49506369908081e-05,0.00177673670226591
"62","TP53","ASXL2",2.55449700405031e-05,0.00179023698214846
"585","XPO1","TP53",2.55449700405031e-05,0.00179023698214846
"37","PPP2R1A","APC",2.56459396415236e-05,0.00179023698214846
"229","PPP2R1A","DICER1",2.56459396415236e-05,0.00179023698214846
"441","PPP2R1A","NSD1",2.56459396415236e-05,0.00179023698214846
"31","PPP2R1A","ALK",2.63970861593653e-05,0.00183015324623062
"419","PPP2R1A","MUC6",2.63970861593653e-05,0.00183015324623062
"501","SMARCA1","PPP2R1A",2.63970861593653e-05,0.00183015324623062
"338","PPP2R1A","KIF1A",2.6604269690391e-05,0.00183164702009994
"436","PPP2R1A","NOTCH1",2.6604269690391e-05,0.00183164702009994
"189","NFE2L2","CTNNB1",2.74575417950253e-05,0.00189361034539807
"308","TP53","GATA3",2.84988770624329e-05,0.00194651672006607
"481","PPP2R1A","POLE",2.86742415206872e-05,0.00195280041229781
"87","CTNNB1","BCOR",2.91696778614984e-05,0.00197753126184107
"226","TP53","DHX9",3.03353360325306e-05,0.00205139108690602
"174","KDM5C","CTNNB1",3.0362778923609e-05,0.00205139108690602
"389","PPP2R1A","LZTR1",3.49669736614925e-05,0.00236412954246979
"584","WHSC1","TP53",3.51020555576882e-05,0.00236412954246979
"93","TP53","BRCA1",3.66616823542167e-05,0.00246956941327086
"560","SPOP","SOX17",3.70154589388168e-05,0.00249338744029276
"269","KRAS","FBXW7",3.80818069675233e-05,0.00255489508101893
"517","USP9X","PPP2R1A",3.86415417529247e-05,0.00258773795105467
"491","RB1","PPP2R1A",3.93475957250999e-05,0.00262320093634466
"135","PPP2R1A","CHEK2",4.04513467865594e-05,0.00269839924106252
"312","PPP2R1A","GNAS",4.18569651602576e-05,0.00277878089148225
"140","PPP2R1A","COL5A1",4.18869485975384e-05,0.00277878089148225
"178","KMT2D","CTNNB1",4.1982644575693e-05,0.00278024186565263
"288","SPOP","FGFR2",4.23007768223149e-05,0.00279378369209522
"39","CTNNB1","APOB",4.25123638573045e-05,0.00279378369209522
"314","TP53","HGF",4.5612962715226e-05,0.0029921232626346
"71","CTNNB1","ATRX",4.56946216279269e-05,0.0029921232626346
"342","PPP2R1A","KIT",4.68963864411632e-05,0.00305523657681027
"149","FBXW7","CTCF",4.69318766072721e-05,0.00305523657681027
"195","PIK3R2","CTNNB1",4.79168430520884e-05,0.00310554914973302
"103","TP53","CASP8",4.90961886230763e-05,0.00318915939069656
"220","TP53","CYSLTR2",5.14945516101693e-05,0.00332156251700063
"382","TNFAIP3","KRAS",5.24668874368209e-05,0.00335789300460594
"291","PPP2R1A","FLNA",5.30163498998623e-05,0.00339550808093734
"158","CTNND1","CTNNB1",5.36300060715801e-05,0.00340400594781744
"211","TSC2","CTNNB1",5.43254235508154e-05,0.00346117627589366
"128","PIK3CA","CHD4",5.43786142476663e-05,0.00346117627589366
"284","PLXNB2","FGFR2",5.49455249743046e-05,0.00348974800359233
"450","PPP2R1A","PDGFRA",5.75283297105586e-05,0.00364855733039251
"186","MUC6","CTNNB1",5.7648963878978e-05,0.00364855733039251
"191","NOTCH2","CTNNB1",5.7648963878978e-05,0.00364855733039251
"204","SETBP1","CTNNB1",5.7648963878978e-05,0.00364855733039251
"254","KRAS","ERBB3",5.83685824542873e-05,0.0036697084530288
"365","NOTCH2","KRAS",5.83685824542873e-05,0.0036697084530288
"519","ZFHX3","PPP2R1A",5.89638639833488e-05,0.0036697084530288
